stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
82772,82772.0,Ballinger Way Ne & 19Th Ave Ne,Ballinger Way Northeast and 19th Avenue Northeast,,47.7740555,-122.308807,18,,0.0,,America/Los_Angeles,1.0,
82775,82775.0,Ballinger Way Ne & 23Rd Ave Ne,Ballinger Way Northeast and 23rd Avenue Northeast,,47.7724228,-122.306374,18,,0.0,,America/Los_Angeles,1.0,
82776,82776.0,Ballinger Way Ne & 25Th Ave Ne,Ballinger Way Northeast and 25th Avenue Northeast,,47.7697105,-122.302315,19,,0.0,,America/Los_Angeles,1.0,
82777,82777.0,Ballinger Way Ne & 35Th Ave Ne,Ballinger Way Northeast and 35th Avenue Northeast,,47.7632103,-122.292686,19,,0.0,,America/Los_Angeles,1.0,
82778,82778.0,Ballinger Way Ne & Ne 190Th St,Ballinger Way Northeast and Northeast One Hundred Ninetieth Street,,47.7673454,-122.29882,19,,0.0,,America/Los_Angeles,1.0,
82780,82780.0,I-405 & Lake Washington Blvd Se,Eye Four Oh Five and Lake Washington Boulevard Southeast,,47.5571404,-122.189278,19,,0.0,,America/Los_Angeles,1.0,
82788,82788.0,Coal Creek Pkwy Se & Se 89Th Pl,Coal Creek Parkway Southeast and Southeast 89th Place,,47.5240936,-122.162445,19,,0.0,,America/Los_Angeles,1.0,
82789,82789.0,Coal Creek Pkwy Se & Se 84Th Way,Coal Creek Parkway Southeast and Southeast 84th Way,,47.5288315,-122.163307,19,,0.0,,America/Los_Angeles,1.0,
82790,82790.0,112Th Ave Se & Se 4Th St,One Hundred Twelfth Avenue Southeast and Southeast Fourth Street,,47.6068497,-122.190674,19,,0.0,,America/Los_Angeles,1.0,
82791,82791.0,Coal Creek Pkwy Se & Se 91St St,Coal Creek Parkway Southeast and Southeast 91st Street,,47.5203743,-122.159126,19,,0.0,,America/Los_Angeles,1.0,
82792,82792.0,Coal Creek Pkwy Se & Se 76Th St,Coal Creek Parkway Southeast and Southeast 76th Street,,47.5342903,-122.164268,19,,0.0,,America/Los_Angeles,1.0,
82793,82793.0,Coal Creek Pkwy Se & Se 89Th Pl,Coal Creek Parkway Southeast and Southeast 89th Place,,47.5244064,-122.162338,19,,0.0,,America/Los_Angeles,1.0,
82794,82794.0,Coal Creek Pkwy Se & Se 79Th Pl,Coal Creek Parkway Southeast and Southeast 79th Place,,47.531395,-122.163048,19,,0.0,,America/Los_Angeles,1.0,
82795,82795.0,Coal Creek Pkwy Se & 135Th Ave Se,Coal Creek Parkway Southeast and 135th Avenue Southeast,,47.5290413,-122.162628,19,,0.0,,America/Los_Angeles,1.0,
82796,82796.0,Coal Creek Pkwy Se & Se 91St St,Coal Creek Parkway Southeast and Southeast 91st Street,,47.5207214,-122.158859,19,,0.0,,America/Los_Angeles,1.0,
82797,82797.0,Coal Creek Pkwy Se & Se 79Th Pl,Coal Creek Parkway Southeast and Southeast 79th Place,,47.5321465,-122.162819,19,,0.0,,America/Los_Angeles,1.0,
82798,82798.0,Coal Creek Pkwy Se & Newcastle Golf Club Rd,Coal Creek Parkway Southeast and Newcastle Golf Club Road,,47.5343399,-122.163895,19,,0.0,,America/Los_Angeles,1.0,
82810,82810.0,Main St & 112Th Ave Ne,Main Street and One Hundred Twelfth Avenue Northeast,,47.6101265,-122.191422,19,,0.0,,America/Los_Angeles,1.0,
8285,8285.0,Rainier Ave S & 39Th Ave S,Rainier Avenue South and 39th Avenue South,,47.5561714,-122.283653,1,,0.0,,America/Los_Angeles,1.0,
82854,82854.0,I-405 Ramp & Ne 160Th St,Eye Four Oh Five Ramp and Northeast One Hundred Sixtieth Street,,47.7438698,-122.186272,19,,0.0,,America/Los_Angeles,1.0,
82878,82878.0,I-405 & Totem Lake Freeway Station - Bay 2,Eye Four Oh Five and Totem Lake Freeway Station - Bay Two,,47.7154274,-122.185509,19,,0.0,,America/Los_Angeles,1.0,
8300,8300.0,Rainier Ave S & S Edmunds St,Rainier Avenue South and South Edmunds Street,,47.5589104,-122.285484,1,,0.0,,America/Los_Angeles,1.0,
8310,8310.0,Rainier Ave S & S Alaska St,Rainier Avenue South and South Alaska Street,,47.5611267,-122.287209,1,,0.0,,America/Los_Angeles,1.0,
