shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
1-SHUTTLE-A-NB,13235,47.46289,-122.26523,2839.09
1-SHUTTLE-A-NB,13236,47.46321,-122.26513,2875.45
1-SHUTTLE-A-NB,13237,47.46351,-122.26519,2909.12
1-SHUTTLE-A-NB,13238,47.46382,-122.26535,2945.63
1-SHUTTLE-A-NB,13239,47.46418,-122.26557,2988.94
1-SHUTTLE-A-NB,13240,47.46487,-122.266,3072.19
1-SHUTTLE-A-NB,13241,47.4651,-122.26614,3099.85
1-SHUTTLE-A-NB,13242,47.46572,-122.26653,3174.76
1-SHUTTLE-A-NB,13243,47.46623,-122.26682,3235.52
1-SHUTTLE-A-NB,13244,47.46695,-122.26723,3321.31
1-SHUTTLE-A-NB,13245,47.46816,-122.26761,3458.85
1-SHUTTLE-A-NB,13246,47.46887,-122.26781,3539.22
1-SHUTTLE-A-NB,13247,47.47043,-122.26826,3715.95
1-SHUTTLE-A-NB,13248,47.47172,-122.26856,3861.15
1-SHUTTLE-A-NB,13249,47.47261,-122.26881,3961.88
1-SHUTTLE-A-NB,13250,47.47305,-122.26896,4012.09
1-SHUTTLE-A-NB,13251,47.47338,-122.26908,4049.88
1-SHUTTLE-A-NB,13252,47.47397,-122.26929,4117.36
1-SHUTTLE-A-NB,13253,47.47767,-122.27105,4549.52
1-SHUTTLE-A-NB,13254,47.47797,-122.27121,4584.98
1-SHUTTLE-A-NB,13255,47.47821,-122.27132,4612.92
1-SHUTTLE-A-NB,13256,47.47835,-122.27137,4628.93
1-SHUTTLE-A-NB,13257,47.4785,-122.27142,4646.03
1-SHUTTLE-A-NB,13258,47.47872,-122.27149,4671.05
1-SHUTTLE-A-NB,13259,47.4789,-122.27153,4691.29
1-SHUTTLE-A-NB,13260,47.47915,-122.27159,4719.45
1-SHUTTLE-A-NB,13261,47.47945,-122.27165,4753.11
1-SHUTTLE-A-NB,13262,47.47971,-122.27167,4782.06
1-SHUTTLE-A-NB,13263,47.47991,-122.27169,4804.35
1-SHUTTLE-A-NB,13264,47.48027,-122.27169,4844.38
1-SHUTTLE-A-NB,13265,47.48049,-122.27167,4868.89
1-SHUTTLE-A-NB,13266,47.48084,-122.27163,4907.93
1-SHUTTLE-A-NB,13267,47.48107,-122.27158,4933.77
1-SHUTTLE-A-NB,13268,47.48126,-122.27154,4955.11
1-SHUTTLE-A-NB,13269,47.48169,-122.27142,5003.77
1-SHUTTLE-A-NB,13270,47.48243,-122.27108,5089.93
1-SHUTTLE-A-NB,13271,47.48295,-122.27076,5152.55
